ID,Pred
2021_1101_1104,0.5
2021_1101_1111,0.5
2021_1101_1116,0.5
2021_1101_1124,0.5
2021_1101_1140,0.5
2021_1101_1155,0.5
2021_1101_1156,0.5
2021_1101_1159,0.5
2021_1101_1160,0.5
2021_1101_1163,0.5
2021_1101_1166,0.5
2021_1101_1179,0.5
2021_1101_1180,0.5
2021_1101_1186,0.5
2021_1101_1196,0.5
2021_1101_1199,0.5
2021_1101_1207,0.5
2021_1101_1210,0.5
2021_1101_1211,0.5
2021_1101_1213,0.5
2021_1101_1216,0.5
2021_1101_1222,0.5
2021_1101_1228,0.5
2021_1101_1233,0.5
2021_1101_1234,0.5
2021_1101_1242,0.5
2021_1101_1251,0.5
2021_1101_1260,0.5
2021_1101_1261,0.5
2021_1101_1268,0.5
2021_1101_1276,0.5
2021_1101_1277,0.5
2021_1101_1281,0.5
2021_1101_1287,0.5
2021_1101_1291,0.5
2021_1101_1313,0.5
2021_1101_1314,0.5
2021_1101_1317,0.5
2021_1101_1325,0.5
2021_1101_1326,0.5
2021_1101_1328,0.5
2021_1101_1329,0.5
2021_1101_1331,0.5
2021_1101_1332,0.5
2021_1101_1333,0.5
2021_1101_1345,0.5
2021_1101_1353,0.5
2021_1101_1361,0.5
2021_1101_1364,0.5
2021_1101_1382,0.5
2021_1101_1393,0.5
2021_1101_1397,0.5
2021_1101_1400,0.5
2021_1101_1403,0.5
2021_1101_1411,0.5
2021_1101_1417,0.5
2021_1101_1422,0.5
2021_1101_1425,0.5
2021_1101_1429,0.5
2021_1101_1433,0.5
2021_1101_1437,0.5
2021_1101_1438,0.5
2021_1101_1439,0.5
2021_1101_1452,0.5
2021_1101_1455,0.5
2021_1101_1457,0.5
2021_1101_1458,0.5
2021_1104_1111,0.5
2021_1104_1116,0.5
2021_1104_1124,0.5
2021_1104_1140,0.5
2021_1104_1155,0.5
2021_1104_1156,0.5
2021_1104_1159,0.5
2021_1104_1160,0.5
2021_1104_1163,0.5
2021_1104_1166,0.5
2021_1104_1179,0.5
2021_1104_1180,0.5
2021_1104_1186,0.5
2021_1104_1196,0.5
2021_1104_1199,0.5
2021_1104_1207,0.5
2021_1104_1210,0.5
2021_1104_1211,0.5
2021_1104_1213,0.5
2021_1104_1216,0.5
2021_1104_1222,0.5
2021_1104_1228,0.5
2021_1104_1233,0.5
2021_1104_1234,0.5
2021_1104_1242,0.5
2021_1104_1251,0.5
2021_1104_1260,0.5
2021_1104_1261,0.5
2021_1104_1268,0.5
2021_1104_1276,0.5
2021_1104_1277,0.5
2021_1104_1281,0.5
2021_1104_1287,0.5
2021_1104_1291,0.5
2021_1104_1313,0.5
2021_1104_1314,0.5
2021_1104_1317,0.5
2021_1104_1325,0.5
2021_1104_1326,0.5
2021_1104_1328,0.5
2021_1104_1329,0.5
2021_1104_1331,0.5
2021_1104_1332,0.5
2021_1104_1333,0.5
2021_1104_1345,0.5
2021_1104_1353,0.5
2021_1104_1361,0.5
2021_1104_1364,0.5
2021_1104_1382,0.5
2021_1104_1393,0.5
2021_1104_1397,0.5
2021_1104_1400,0.5
2021_1104_1403,0.5
2021_1104_1411,0.5
