type_of_model,mode,regression_formula,grid_size,notes,model_performance,performance_measure
random_forest,regression,~win_byARPI + ABPI + BRPI + BBPI,5,first model attempts2,12.05474789,rmse
random_forest,classification,~winARPI + ABPI + BRPI + BBPI,5,first classification,0.685805806,accuracy
random_forest,classification,~winARPI + ABPI + BRPI + BBPI,10,second model attempts,0.685805806,accuracy
random_forest,classification,~winARPI + ABPI + BRPI + BBPI,1,second model attempts,0.744299265,kaggle
random_forest,classification,~winARPI + ABPI + BRPI + BBPI,1,second model attempts test,0.744299265,kaggle
random_forest,classification,~winARPI + ABPI + BRPI + BBPI,1,second model attempts test2,0.744299265,kaggle
random_forest,classification,~winA_rank_avg + B_rank_avg + ATM_OOE + BTM_OOE + ATM_ODE + BTM_ODE,5,first attempt with Jims data,0.562677192,kaggle
random_forest,classification,~winA_rank_avg + B_rank_avg + ATM_OOE + BTM_OOE + ATM_ODE + BTM_ODE + ARPI + BRPI,5,first attempt with Jims data,0.591771219,kaggle
random_forest,classification,~winARPI + ABPI + BRPI + BBPI,10,second model attempts test,0.342029097,kaggle
random_forest,classification,~winA_rank_avg + B_rank_avg + ATM_OOE + BTM_OOE + ATM_ODE + BTM_ODE,5,first attempt with Jims data submission to kaggle test,0.562677192,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + OE_A + OE_B + avg_win_A + avg_win_B,5,testing new model building workflow,0.54706926,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + OE_A + OE_B + avg_win_A + avg_win_B + clust_A + clust_B,5,testing new model building workflow,0.550078675,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + OE_A + OE_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3defensive_efficiency_A + last3defensive_efficiency_B + avg_win_A + avg_win_B + clust_A + clust_B,5,testing new model building workflow,0.551468673,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + OE_A + OE_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3defensive_efficiency_A + last3defensive_efficiency_B + avg_win_A + avg_win_B + clust_A + clust_B,5,testing new model building workflow 2,0.548312481,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + OE_A + OE_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3defensive_efficiency_A + last3defensive_efficiency_B + avg_win_A + avg_win_B + clust_A + clust_B,5,testing new model building workflow 3,0.548312481,kaggle
random_forest,regression,~win_byrank_avg_A + rank_avg_B + OE_A + OE_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3defensive_efficiency_A + last3defensive_efficiency_B + avg_win_A + avg_win_B + clust_A + clust_B,5,testing to see if regression works,11.56227664,rmse
random_forest,regression,~win_byrank_avg_A + rank_avg_B + OE_A + OE_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3defensive_efficiency_A + last3defensive_efficiency_B + avg_win_A + avg_win_B + clust_A + clust_B,5,testing to see if regression works 2,11.56227664,rmse
random_forest,classification,~win.,5,use it all,0.565604231,kaggle
random_forest,classification,~win.,5,use it all 2,0.565604231,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + OE_A + OE_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3defensive_efficiency_A + last3defensive_efficiency_B + avg_win_A + avg_win_B + clust_A + clust_B,5,old one,0.548312481,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + OE_A + OE_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3defensive_efficiency_A + last3defensive_efficiency_B + avg_win_A + avg_win_B + clust_A + clust_B,5,"classification of OE, DE, rank, Win spread, and cluster",0.551468673,kaggle
random_forest,classification,~wincol_A + col_B + OE_A + OE_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3defensive_efficiency_A + last3defensive_efficiency_B + avg_win_A + avg_win_B + clust_A + clust_B,5,"classification of OE, DE, col rank, Win spread, and cluster",0.566355456,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + OE_A + OE_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3defensive_efficiency_A + last3defensive_efficiency_B + avg_win_A + avg_win_B + clust_A + clust_B,5,"classification of OE, DE, avg and sd rank, Win spread, and cluster",0.544163403,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + OE_A + OE_B + last3possessions_per_game_A + last3possessions_per_game_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3defensive_efficiency_A + last3defensive_efficiency_B + avg_win_A + avg_win_B + clust_A + clust_B,5,"classification of OE, DE, avg and sd rank, Win spread, possessions, and cluster",0.541435849,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + OE_A + OE_B + overallpossessions_per_game_A + overallpossessions_per_game_B + last3possessions_per_game_A + last3possessions_per_game_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3defensive_efficiency_A + last3defensive_efficiency_B + avg_win_A + avg_win_B + clust_A + clust_B,5,"classification of OE, DE, avg and sd rank, Win spread, possessions, and cluster",0.558636956,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + OE_A + OE_B + last3possessions_per_game_A + last3possessions_per_game_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3defensive_efficiency_A + last3defensive_efficiency_B + avg_win_A + avg_win_B + clust_A + clust_B + overallfree_throw_rate_A + overallfree_throw_rate_B,5,"classification of OE, DE, avg and sd rank, Win spread, possessions, and cluster",0.538027019,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + OE_A + OE_B + last3possessions_per_game_A + last3possessions_per_game_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3defensive_efficiency_A + last3defensive_efficiency_B + avg_win_A + avg_win_B + clust_A + clust_B + overallfree_throw_rate_A + overallfree_throw_rate_B + overallpercent_of_points_from_3_pointers_A + overallpercent_of_points_from_3_pointers_B,5,"classification of OE, DE, avg and sd rank, Win spread, possessions, free throws, 3 points, and cluster",0.550956237,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + OE_A + OE_B + last3possessions_per_game_A + last3possessions_per_game_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3defensive_efficiency_A + last3defensive_efficiency_B + avg_win_A + avg_win_B + clust_A + clust_B + overallpercent_of_points_from_3_pointers_A + overallpercent_of_points_from_3_pointers_B,5,"classification of OE, DE, avg and sd rank, Win spread, possessions, free throws, 3 points, and cluster",0.552164923,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + OE_A + OE_B + last3possessions_per_game_A + last3possessions_per_game_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3defensive_efficiency_A + last3defensive_efficiency_B + avg_win_A + avg_win_B + clust_A + clust_B + overallfree_throw_rate_A + overallfree_throw_rate_B + overallpercent_of_points_from_3_pointers_A + overallpercent_of_points_from_3_pointers_B + last3_change_A + last3_change_B,5,"classification of OE, DE, avg and sd rank, Win spread, possessions, free throws, 3 points, and cluster",0.5634343,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + OE_A + OE_B + last3possessions_per_game_A + last3possessions_per_game_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3defensive_efficiency_A + last3defensive_efficiency_B + avg_win_A + avg_win_B + clust_A + clust_B + overallfree_throw_rate_A + overallfree_throw_rate_B + last3_change_A + last3_change_B,5,"classification of OE, DE, avg and sd rank, Win spread, possessions, free throws, 3 points, and cluster",0.543207511,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + OE_A + OE_B + last3possessions_per_game_A + last3possessions_per_game_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3defensive_efficiency_A + last3defensive_efficiency_B + avg_win_A + avg_win_B + clust_A + clust_B + overallfree_throw_rate_A + overallfree_throw_rate_B,5,"classification of OE, DE, avg and sd rank, Win spread, possessions, free throws, 3 points, and cluster",0.538027019,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + OE_A + OE_B + last3possessions_per_game_A + last3possessions_per_game_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3defensive_efficiency_A + last3defensive_efficiency_B + avg_win_A + avg_win_B + clust_A + clust_B + overallfree_throw_rate_A + overallfree_throw_rate_B + ratingschedule_strength_by_other_A + ratingschedule_strength_by_other_B,5,"classification of OE, DE, avg and sd rank, Win spread, possessions, free throws, strength of schedule, and cluster",0.538968445,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + OE_A + OE_B + last3possessions_per_game_A + last3possessions_per_game_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3defensive_efficiency_A + last3defensive_efficiency_B + avg_win_A + avg_win_B + clust_A + clust_B + overallfree_throw_rate_A + overallfree_throw_rate_B + ratingschedule_strength_by_other_A + ratingschedule_strength_by_other_B + ratingneutral_by_other_A + ratingneutral_by_other_B,5,"classification of OE, DE, avg and sd rank, Win spread, possessions, free throws, strength of schedule, and cluster",0.543528704,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + OE_A + OE_B + last3possessions_per_game_A + last3possessions_per_game_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3defensive_efficiency_A + last3defensive_efficiency_B + avg_win_A + avg_win_B + clust_A + clust_B + overallfree_throw_rate_A + overallfree_throw_rate_B + ratingschedule_strength_by_other_A + ratingschedule_strength_by_other_B + ratinglast_10_games_by_other_A + ratinglast_10_games_by_other_B,5,"classification of OE, DE, avg and sd rank, Win spread, possessions, free throws, strength of schedule, last 10, and cluster",0.544912756,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + OE_A + OE_B + DE_A + DE_B + last3possessions_per_game_A + last3possessions_per_game_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3defensive_efficiency_A + last3defensive_efficiency_B + avg_win_A + avg_win_B + clust_A + clust_B + overallfree_throw_rate_A + overallfree_throw_rate_B + ratingschedule_strength_by_other_A + ratingschedule_strength_by_other_B,5,"classification of OE, DE, avg and sd rank, Win spread, possessions, free throws, strength of schedule, and cluster",0.54084972,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + OE_A + OE_B + DE_A + DE_B + last3possessions_per_game_A + last3possessions_per_game_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3defensive_efficiency_A + last3defensive_efficiency_B + avg_win_by_A + avg_win_by_B + clust_A + clust_B + overallfree_throw_rate_A + overallfree_throw_rate_B,5,"classification of OE, DE, avg and sd rank, Win spread, possessions, free throws, strength of schedule, and cluster",0.540918025,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + OE_A + OE_B + DE_A + DE_B + last3possessions_per_game_A + last3possessions_per_game_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + overallfree_throw_rate_A + overallfree_throw_rate_B,5,"classification of OE, DE, avg and sd rank, Win spread, possessions, free throws, strength of schedule, and cluster",0.538856221,kaggle
